epoch,train_loss,train_dice,train_jaccard,dice_score,jaccard_score
0,3.070581951231327,0.1009161,0.053751782810497827,0.08782873,0.04831038936528753
1,2.599744274931134,0.14620411,0.08020405922486418,0.15236925,0.09000330543139493
2,2.4418315471343273,0.41616997,0.2759880808670196,0.27111927,0.18071906893319786
3,2.3241174479700484,0.56674504,0.4062497149230225,0.33066344,0.23424551517999898
4,2.2700404862187944,0.62123346,0.4618011005838082,0.50810426,0.4112274213891952
5,2.2744249476576752,0.637702,0.48073225925099117,0.41405517,0.31731061642625324
6,2.20665790224975,0.645485,0.48989415372176304,0.75502896,0.6683477730944012
7,2.194027896197337,0.67143637,0.5173079701609082,0.428152,0.33545055373738447
8,2.1460187435150146,0.6882292,0.5374444605628869,0.7323654,0.6394924857426189
9,2.1442399868425333,0.7104419,0.5604162191235256,0.76825935,0.6853114039425778
10,2.1313995527771286,0.70989394,0.5598328431708244,0.6615898,0.5775947118248663
11,2.095044625255297,0.71776426,0.5728776587767567,0.65367824,0.5662079908337116
12,2.0968072774275295,0.71875906,0.5728334046862593,0.5150106,0.42334509119358243
