epoch,train_loss,train_dice,train_jaccard,dice_score,jaccard_score
0,2.677410692214966,0.37846252,0.25529118761879555,tensor(0.3870),0.2837394714504342
1,2.147778205871582,0.69893163,0.5544698644829665,tensor(0.4833),0.3777857385287545
2,1.707998278617859,0.78947216,0.665099629072369,tensor(0.5103),0.40982466631722436
3,1.302029371023178,0.8369421,0.7267470802979769,tensor(0.5618),0.4785882577187463
4,0.9612480616569519,0.8518407,0.7538042104900715,tensor(0.5102),0.4214916113952212
5,0.6739722018241883,0.8626398,0.7692313162257643,tensor(0.5862),0.5132014025960517
6,0.4907317988872528,0.88138616,0.7977459985869467,tensor(0.5075),0.456742666592781
7,0.40762687802314757,0.8850551,0.801797092090479,tensor(0.5457),0.48925651124546365
8,0.3098555687665939,0.9006847,0.8228292704381037,tensor(0.5084),0.4653525446512587
9,0.2652327870130539,0.89335054,0.8164208187739259,tensor(0.5093),0.46648072520266665
