epoch,train_loss,train_dice,train_jaccard,dice_score,jaccard_score
0,1.1557509102527563,0.09670217,0.05686329581682979,tensor(0.1437),0.0897744869447006
1,0.8748036998708101,0.24928991,0.18688962643035284,tensor(0.3121),0.24801769517940767
2,0.5890141298985594,0.3508307,0.29519283061805507,tensor(0.3699),0.29542024165861863
3,0.40818150553375626,0.3601185,0.30769536542091036,tensor(0.4570),0.38931751048465185
4,0.29171122257460913,0.383782,0.33275180257405396,tensor(0.7079),0.6545804673350606
5,0.2266365926695096,0.39552346,0.3462711326284427,tensor(0.6461),0.5923353688559414
6,0.18015249412489162,0.40856948,0.36161064916453384,tensor(0.6377),0.6022007934503798
7,0.15957736788909016,0.40745872,0.35992303667020986,tensor(0.6289),0.5895261481840105
8,0.13441292037613584,0.41602078,0.3706921723904534,tensor(0.7976),0.7637051284231385
9,0.1540649974656896,0.39926255,0.3505323773829301,tensor(0.7646),0.7233857180190395
10,0.11540413379527946,0.4158735,0.3706266607657972,tensor(0.7983),0.7647600095802755
11,0.1154203675510759,0.4117858,0.36580102903047645,tensor(0.6966),0.6651576054005439
12,0.10893319721964863,0.41492233,0.36981434745541336,tensor(0.6935),0.6602416717052298
13,0.09442750659387258,0.42216575,0.37955331174626006,tensor(0.6406),0.6069785291290439
14,0.08375514660613231,0.42657468,0.38375485789033464,tensor(0.7466),0.7138406555168474
15,0.09167093686512297,0.42090273,0.37768820588880625,tensor(0.6893),0.6537380471392217
16,0.07822328150907965,0.42819038,0.38626675093748736,tensor(0.7470),0.7144330719649489
17,0.0806920386462415,0.4279328,0.38758470640028797,tensor(0.8530),0.8207806818291256
18,0.0788215904086122,0.44560722,0.40395166523889725,tensor(0.7421),0.7081640784168637
19,0.06991958374519484,0.43133005,0.39098641893007585,tensor(0.8028),0.7482555435297289
